City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,fort bragg,35.139,-79.006,18.75,96,40,2.06,US,1685410325
84,pisco,-13.7,-76.2167,20.03,73,0,4.63,PE,1685410327
85,carnarvon,-24.8667,113.6333,23.23,50,31,3.08,AU,1685410328
86,tabou,4.423,-7.3528,26.22,83,91,1.98,CI,1685410329
87,longyearbyen,78.2186,15.6401,0.56,92,100,1.22,SJ,1685410330
88,al markaz,25.4,49.7333,31.33,20,25,4.04,SA,1685410331
89,ardakan,32.31,54.0175,27.59,18,57,1.44,IR,1685410333
90,bredasdorp,-34.5322,20.0403,13.9,95,52,3.06,ZA,1685410334
91,grand-popo,6.2804,1.8225,26.76,82,99,2.03,BJ,1685410336
92,ushuaia,-54.8,-68.3,8.81,71,0,3.09,AR,1685410256
93,dudinka,69.4058,86.1778,2.57,54,100,3.25,RU,1685410338
94,georgievka,49.3314,81.5761,12.22,79,100,2.57,KZ,1685410339
95,polyarnyy,69.1989,33.4478,6.28,75,99,5.62,RU,1685410340
96,susuman,62.7833,148.1667,13.32,35,29,2.63,RU,1685410341
97,boa vista,2.8197,-60.6733,24.99,88,40,1.54,BR,1685410341
98,mukalla,14.5425,49.1242,29.55,72,41,0.92,YE,1685410342
99,yaren,-0.5472,166.916,28.92,72,100,2.47,NR,1685410343
100,vadso,70.0744,29.7487,5.09,75,75,5.14,NO,1685410343
101,taro,-8.3862,115.28,24.0,55,94,1.11,ID,1685410344
102,marka,1.7159,44.7717,25.68,86,83,4.08,SO,1685410345
103,moyynkum,44.2914,72.9469,17.58,23,0,6.46,KZ,1685410345
104,aur,8.1499,171.1687,27.23,80,99,5.11,MH,1685410346
105,bordj ghdir,35.9011,4.8981,10.51,82,42,1.94,DZ,1685410347
106,port macquarie,-31.4333,152.9167,20.5,47,2,1.45,AU,1685410348
107,afaahiti,-17.75,-149.2833,25.93,80,20,4.1,PF,1685410349
108,puerto deseado,-47.7503,-65.8938,8.16,63,34,4.45,AR,1685410350
109,kilindoni,-7.9139,39.6668,26.84,71,23,6.99,TZ,1685410350
110,gulf shores,30.246,-87.7008,25.59,67,40,2.57,US,1685410352
111,tralee,52.2704,-9.7026,11.06,88,100,2.48,IE,1685410132
112,port hedland,-20.3167,118.5667,24.03,19,0,8.75,AU,1685410094
113,cukai,4.25,103.4167,28.97,69,88,0.3,MY,1685410355
114,mondim de basto,41.4135,-7.9548,15.22,99,100,0.52,PT,1685410356
115,santa ana,33.7456,-117.8678,22.29,72,100,4.63,US,1685410134
116,olonkinbyen,70.9221,-8.7187,1.46,99,100,6.24,SJ,1685410358
117,la sarre,48.8002,-79.1996,15.22,57,0,2.75,CA,1685410358
118,znamenskoye,57.1281,73.8282,13.31,69,100,3.88,RU,1685410360
119,vilhena,-12.7406,-60.1458,20.7,91,100,1.15,BR,1685410360
120,santa elena de uairen,4.6167,-61.1333,19.88,95,100,0.94,VE,1685410361
121,burang,30.25,81.1667,2.55,72,80,1.88,CN,1685410362
122,port mathurin,-19.6833,63.4167,24.44,72,1,8.04,MU,1685410363
123,khandyga,62.6667,135.6,20.66,28,79,0.13,RU,1685410363
124,bikenibeu village,1.3673,173.1241,30.98,70,40,2.06,KI,1685410364
125,kaka,37.3482,59.6143,26.79,12,100,2.64,TM,1685410365
126,puerto ayora,-0.7393,-90.3518,25.86,94,12,2.24,EC,1685410366
127,klyuchi,52.2667,79.1667,14.44,60,0,5.51,RU,1685410366
128,la passe,45.5549,-0.8967,19.13,85,0,5.57,FR,1685410367
129,kourou,5.1552,-52.6478,25.03,86,100,2.0,GF,1685410368
130,takoradi,4.8845,-1.7554,26.31,83,94,2.38,GH,1685410369
131,isafjordur,66.0755,-23.124,7.13,87,97,7.76,IS,1685410370
132,dezhou,37.4486,116.2925,20.62,60,100,1.46,CN,1685410371
133,constantia,44.1833,28.65,16.5,84,98,4.88,RO,1685410372
134,iqaluit,63.7506,-68.5145,1.85,87,100,4.12,CA,1685410372
135,happy valley-goose bay,53.3168,-60.3315,6.17,61,75,1.03,CA,1685410374
136,axim,4.8699,-2.2405,26.09,86,100,2.41,GH,1685410375
137,letterkenny,54.95,-7.7333,5.86,90,74,0.21,IE,1685410375
138,kyzyl,51.7,94.45,12.6,49,50,1.5,RU,1685410376
139,mantua,45.1667,10.7833,21.53,83,76,0.89,IT,1685410377
140,vila velha,-20.3297,-40.2925,21.97,78,0,4.63,BR,1685410378
141,tutoia,-2.7619,-42.2744,25.58,89,82,4.22,BR,1685410379
142,kodinsk,58.6881,99.1844,18.49,46,98,2.75,RU,1685410380
143,vorkuta,67.5,64.0,9.91,97,100,4.7,RU,1685410380
144,north adams,42.7009,-73.1087,19.87,51,0,7.72,US,1685410381
145,island harbour,50.724,-1.2758,11.07,78,33,2.68,GB,1685410383
146,keflavik,64.0049,-22.5624,7.95,93,100,7.2,IS,1685410384
147,nagqu,31.5,92.0,9.0,48,0,5.04,CN,1685410385
148,zhukovka,53.534,33.728,11.15,79,0,0.36,RU,1685410388
149,north bend,43.4065,-124.2243,14.95,88,100,10.8,US,1685410391
150,hotan,37.0997,79.9269,21.57,16,100,0.85,CN,1685410392
151,bomi,7.2461,-11.5258,24.38,96,15,0.48,SL,1685410393
152,mogocha,53.7333,119.7667,15.01,35,5,1.61,RU,1685410395
153,tanabe,33.7333,135.3667,22.56,100,75,2.57,JP,1685410397
154,robertsport,6.7533,-11.3686,27.12,81,60,2.0,LR,1685410398
155,namibe,-15.1961,12.1522,17.24,68,33,5.08,AO,1685410399
156,beloyarskiy,63.7119,66.6722,16.79,90,99,4.25,RU,1685410400
157,ilulissat,69.2167,-51.1,1.01,60,100,4.63,GL,1685410401
158,eureka,40.8021,-124.1637,19.82,86,31,0.89,US,1685410205
159,punta arenas,-53.15,-70.9167,7.06,81,75,3.09,CL,1685410300
160,jamestown,42.097,-79.2353,23.8,40,0,3.6,US,1685410403
161,kuqa,41.7278,82.9364,18.56,17,0,1.54,CN,1685410404
162,whitefish,48.4111,-114.3376,21.39,56,0,4.63,US,1685410404
163,luderitz,-26.6481,15.1594,10.99,81,0,1.9,NA,1685410406
164,mejit,10.2753,170.8646,27.24,79,100,4.9,MH,1685410406
165,qaqortoq,60.7167,-46.0333,1.03,86,15,2.32,GL,1685410407
166,kushiro,42.975,144.3747,14.53,82,75,4.63,JP,1685410408
167,howrah,22.5892,88.3103,30.0,84,20,2.06,IN,1685410408
168,tromso,69.6496,18.957,4.01,87,75,4.63,NO,1685410410
169,hammerfest,70.6634,23.6821,5.25,70,100,8.75,NO,1685410411
170,ambon,-3.6954,128.1814,29.08,50,40,2.57,ID,1685410360
171,qamdo,31.1667,97.2333,11.55,27,0,2.9,CN,1685410413
172,porbandar,21.6422,69.6093,28.02,81,0,5.0,IN,1685410415
173,hun,29.1268,15.9477,25.5,21,4,2.6,LY,1685410417
174,newman,37.3138,-121.0208,26.19,46,31,4.47,US,1685410417
175,pocone,-16.2567,-56.6228,20.42,86,99,0.86,BR,1685410418
176,udachny,66.4167,112.4,13.03,40,100,5.38,RU,1685410419
177,yilan,24.757,121.753,32.79,79,26,2.97,TW,1685410420
178,papatowai,-46.5619,169.4708,13.56,66,100,4.82,NZ,1685410421
179,isangel,-19.55,169.2667,28.06,57,40,4.12,VU,1685410422
180,andergrove,-21.0833,149.1833,23.14,53,0,6.64,AU,1685410423
181,nova sintra,14.8667,-24.7167,20.42,82,25,10.55,CV,1685410424
182,dompu,-8.5356,118.4622,29.47,59,56,1.6,ID,1685410425
183,karratha,-20.7377,116.8463,23.08,26,0,8.18,AU,1685410429
184,tamandare,-8.7597,-35.1047,24.68,85,77,2.68,BR,1685410429
185,sarh,9.1429,18.3923,23.51,81,75,1.37,TD,1685410430
186,colchani,-20.3,-66.9333,2.5,37,0,2.45,BO,1685410431
187,fort scott,37.8398,-94.7083,24.16,83,100,0.62,US,1685410431
188,myitkyina,25.3833,97.4,33.98,30,5,0.25,MM,1685410432
189,gaiman,-43.2897,-65.4929,9.57,21,3,3.2,AR,1685410433
190,tieli,46.95,128.05,19.34,30,30,4.25,CN,1685410433
191,shingu,33.7333,135.9833,25.41,78,100,1.77,JP,1685410434
192,benguela,-12.5763,13.4055,20.33,87,21,0.58,AO,1685410435
193,okhotsk,59.3833,143.3,11.12,61,96,3.92,RU,1685410435
194,arkhangel'sk,64.5401,40.5433,8.79,79,12,1.92,RU,1685410391
